業,,ŋiap,,,1
局,,gyok,,,1
曲,,khyok,,,1
極,,giək,,,1
玉,,ŋyok,,,1
勤,,giən,,,1
均,,kyn,,,1
禁,,krîm,,,1
筋,,kiən,,,1
近,,giə́n,,,1
金,,krim,,,1
銀,,ŋrin,,,1
九,,kyú,,,1
句,,kyô,,,1
区,,khyo,,,1
苦,,khó,,,1
具,,gyô,,,1
空,,khuŋ,形容詞【からである】、動詞【なくなる】、名詞【そら】、副詞【むだに，ただ】。,,1
君,,kyun,,,1
訓,,qhyûn,,,1
群,,gyun,,,1
軍,,kyun,,,1
郡,,gyûn,,,1
係,,kêi,,,1
兄,,qhryeŋ,,,1
型,,xeŋ,,,1
形,,xeŋ,,,1
径,（徑）,kêŋ,,,1
敬,,kriêŋ,,,1
景,,kriéŋ,,,1
系,,xêi,,,1
経,（經）,keŋ,,,1
計,,kêi,,,1
警,,kriéŋ,,,1
軽,,khieŋ,,,1
芸,（藝）,ŋiêi,,,1
劇,,griek,,,1
激,,kek,,,1
欠,（缺）,khyet,,,1
決,,kuet,,,1
潔,,ket,,,1
穴,,xuet,,,1
結,,ket,,,1
血,,qhuet,,,1
月,,ŋyot,,,1
件,,grién,,,1
健,,giân,,,1
券,,khyôn,,,1
建,,kiân,,,1
憲,,qhiân,,,1
検,（檢）,kriém,,,1
権,（權）,gryen,,,1
犬,,khuén,,,1
研,,ŋên,,,1
絹,,kyên,,,1
県,（縣）,xuên,,,1
見,,kên,,,1
険,（險）,qhriém,,,1
験,（驗）,ŋriêm,,,1
元,,ŋyon,,,1
原,,ŋyon,,,1
厳,（嚴）,ŋiam,,,1
減,,krém,,,1
源,,ŋyon,,,1
現,,xên,,,1
言,,ŋian,,,1
限,,xrén,,,1
個,,kâ,,,1
古,,kó,,,1
呼,,qho,,,1
固,,kô,,,1
己,,kiə́,,,1
庫,,khô,,,1
戸,（户）,xó,,,1
故,,kô,,,1
湖,,xo,,,1
五,,ŋó,,,1
午,,ŋó,,,1
後,,xú,,,1
語,,ŋió,,,1
誤,,ŋô,,,1
護,,xô,,,1
交,,krau,,,1
候,,xû,,,1
光,,kuaŋ,,,1
公,,kuŋ,,,1
功,,kuŋ,,,1
効,（效）,xrâu,,,1
厚,,xú,,,1
口,,khú,,,1
向,,qhiâŋ,,,1
后,,xú,,,1
好,,qháu,形容詞【よい】、動詞【できる】、副詞【とても】。,,1
好,,qhâu,動詞【すきである】、形容詞【しがちである】。,,1
孝,,qhrâu,,,1
工,,kuŋ,,,1
幸,,xréŋ,,,1
広,（廣）,kuáŋ,,,1
康,,khaŋ,,,1
校,,xrâu,,,1
構,,kû,,,1
港,,króŋ,,,1
皇,,xuaŋ,,,1
紅,,xuŋ,,,1
耕,,kreŋ,,,1
考,,kháu,,,1
航,,xaŋ,,,1
行,,xraŋ,動詞【いく】、【おこなう】、名詞【みち】、副詞【やがて】、形容詞【臨時の】。,例詞：｛行書｝、｛五行｝,1
行,,xrâŋ,名詞【おこない】、動詞【みまわる】。,例詞：｛行爲｝,1
講,,króŋ,,,1
鉱,（鑛）,kruáŋ,,,1
鋼,,kaŋ,,,1
降,,krôŋ,動詞【おりる，おとす】。,,1
降,,xroŋ,動詞【降伏する，うちまかす，安心する】、副詞【共同で】。,,1
高,,kau,,,1
号,（號）,xau,動詞【さけぶ，なきさけぶ】、代詞【どうして】。,,1
号,（號）,xâu,動詞【よぶ，命令する】、名詞【なまえ，しるし】、【命令】。,,1
合,,xəp,,,1
刻,,khək,,,1
告,,kâu,,,1
国,（國）,kuək,,,1
穀,,kuk,,,1
黒,（黑）,qhək,,,1
骨,,kut,,,1
今,,krim,,,1
困,,khûn,,,1
根,,kən,,,1
混,,xún,,,1
左,,cá,,,1
差,,chra,,,1
査,查,dzra,,,1
砂,,sra,,,1
座,,dzuâ,,,1
再,,cə̂i,,,1
最,,cuâi,,,1
妻,,chei,,,1
才,,dzəi,,,1
採,,chə́i,,,1
済,（濟）,cêi,,,1
災,,cəi,,,1
祭,,ciêi,,,1
細,,sêi,,,1
菜,,chə̂i,,,1
裁,,dzəi,,,1
際,,ciêi,,,1
在,,dzə́i,,,1
材,,dzəi,,,1
罪,,dzúi,,,1
財,,dzəi,,,1
坂,,pyón,,,1
作,,cak,,,1
昨,,dzak,,,1
策,,chrek,,,1
桜,,qreŋ,,,1
冊,（册）,chrek,,,1
刷,,sruat,,,1
察,,chret,,,1
札,,cret,,,1
殺,,sret,,,1
雑,（雜）,dzəp,,,1
皿,,mriéŋ,,,1
三,,sam,,,1
参,（參）,chəm,,,1
山,,sren,,,1
散,,sán,形容詞【ちっている】、名詞【こなぐすり】。,例詞：｛散步｝,1
散,,sân,他動詞【ちらす】。,,1
産,,srén,,,1
算,,suán,,,1
蚕,（蠶）,dzəm,,,1
賛,（贊）,cân,,,1
酸,,suan,,,1
残,（殘）,dzan,,,1
仕,,dzriə́,,,1
使,,sriə́,動詞【つかう，派遣する】、【させる】、名詞【使用人】、連詞【かりに】。,,1
司,,siə,,,1
史,,sriə́,,,1
四,,sî,,,1
士,,dzriə́,,,1
始,,shiə́,,,1
姉,（姊）,cí,,,1
姿,,ci,,,1
子,,ciə́,,,1
市,,diə́,,,1
師,,sri,,,1
志,,tiə̂,,,1
思,,siə,,,1
指,,tí,,,1
支,,tie,,,1
枝,,tie,,,1
止,,tiə́,,,1
死,,sí,,,1
氏,,dié,,,1
私,,si,,,1
糸,（絲）,siə,,,1
紙,,tié,,,1
至,,tî,,,1
視,,dí,,,1
詞,,ziə,,,1
詩,,shiə,,,1
試,,shiə̂,,,1
誌,,tiə̂,,,1
資,,ci,,,1
歯,（齒）,thiə́,,,1
事,,dzriə̂,,,1
似,,ziə́,,,1
児,（兒）,nie,,,1
字,,dziə̂,,,1
寺,,ziə̂,,,1
持,,driə,,,1
次,,chî,,,1
治,,driə̂,,,1
磁,,dzi,,,1
示,,zhî,,,1
耳,,niə́,,,1
自,,dzî,,,1
辞,（辭）,ziə,,,1
式,,shiək,,,1
識,,shiək,動詞【わかる，みわける，みとめる】、名詞【しっているもの】。,,1
七,,chit,,,1
失,,shit,,,1
室,,shit,,,1
質,,tit,,,1
実,（實）,zhit,,,1
舎,（舍）,shiâ,,,1
写,（寫）,siá,,,1
射,,zhiâ,,,1
捨,,shiá,,,1
社,,diá,,,1
者,,tiá,,,1
謝,,ziâ,,,1
車,,thia,,,1
借,,ciâ,,,1
尺,,thiek,,,1
若,,niak,,,1
弱,,niak,,,1
主,,tyó,,,1
取,,chyó,,,1
守,,shyú,,,1
手,,shyú,,,1
種,,tyóŋ,,,1
酒,,cyú,,,1
首,,shyú,,,1
受,,dyú,,,1
授,,dyû,,,1
樹,,dyô,名詞【樹木】。,,1
収,（收）,shyu,,,1
周,,tyu,,,1
宗,,coŋ,,,1
就,,dzyû,,,1
州,,tyu,,,1
修,,syu,,,1
拾,,dip,,,1
秋,,chyu,,,1
終,,tyuŋ,,,1
習,,zip,,,1
衆,,tyûŋ,,,1
週,（周）,tyu,,,1
集,,dzip,,,1
住,,dryô,,,1
十,,dip,,,1
従,（從）,dzyoŋ,,,1
縦,（縱）,cyoŋ,,,1
重,,dryóŋ,,,1
宿,,syuk,,,1
祝,,tyuk,,,1
縮,,sryuk,,,1
熟,,dyuk,,,1
出,,thyt,,,1
術,,zhyt,,,1
述,,zhyt,,,1
春,,thyn,,,1
準,,týn,,,1
純,,dyn,,,1
順,,zhŷn,,,1
処,（處）,thió,動詞【いる，さだめる】、名詞【規律】。,,1
処,（處）,thiô,名詞【ところ】。,,1
初,,chrio,,,1
所,,srió,,,1
暑,,shió,,,1
署,,diô,,,1
書,,shio,,,1
助,,dzriô,,,1
女,,nrió,,,1
序,,zió,,,1
除,,drio,,,1
傷,,shiaŋ,,,1
勝,,shiəŋ,,,1
商,,shiaŋ,,,1
唱,,thiâŋ,,,1
将,（將）,ciâŋ,名詞【将軍】、動詞【ひきいる，将軍になる】。,,1
将,（將）,ciaŋ,,例詞：｛將軍｝,1
小,,siéu,,,1
少,,shiéu,,,1
承,,diəŋ,,,1
招,,tieu,,,1
昭,,tieu,,,1
松,,zyoŋ,,,1
消,,sieu,,,1
焼,,shieu,,,1
照,,tiêu,,,1
省,,siéŋ,名詞【みる，かえりみる，みまう】、【わかる】、形容詞【はっきりとしている】、【立派である】。,,1
省,,sriéŋ,名詞【役所】、動詞【はぶく】、形容詞【簡略な】、副詞【かつて】。,,1
章,,tiaŋ,,,1
笑,,siêu,,,1
証,（證）,tiə̂ŋ,,,1
象,,ziáŋ,,,1
賞,,shiáŋ,,,1
障,,tiâŋ,,,1
上,,diáŋ,動詞【あげる，あがる】，副詞【うえに】。,,1
上,,diâŋ,名詞【うえ】，副詞【どうか】。,,1
乗,（乘）,zhiəŋ,,,1
城,,dieŋ,,,1
場,,driaŋ,,,1
常,,diaŋ,,,1
情,,dzieŋ,,,1
条,（條）,deu,,,1
状,（狀）,dzriâŋ,,,1
蒸,,tiəŋ,,,1
植,,diək,,,1
織,,tiək,,,1
職,,tiək,,,1
色,,sriək,,,1
食,,zhiək,,,1
信,,sîn,,,1
心,,sim,,,1
新,,sin,,,1
森,,srim,,,1
深,,shim,,,1
申,,shin,,,1
真,,tin,,,1
臣,,din,,,1
親,,chin,,,1
身,,shin,,,1
進,,cîn,,,1
針,,tim,,,1
人,,nin,,,1
仁,,nin,,,1
図,（圖）,do,,,1
垂,,dye,,,1
推,,thui,,,1
水,,shýi,,,1
数,（數）,sryó,動詞【かぞえる】,,1
数,（數）,sryô,,,1
寸,,chûn,,,1
世,,shiêi,,,1
制,,tiêi,,,1
勢,,shiêi,,,1
性,,siêŋ,,,1
成,,dieŋ,,,1
政,,tiêŋ,,,1
整,,tiéŋ,,,1
星,,seŋ,,,1
正,,tiêŋ,,,1
清,,chieŋ,,,1
生,,srieŋ,,,1
