0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
66,廉,廉,Liem,Lián,Lim4,Ryeom,Ren,ㄌㄧㄢˊ,렴,レン
67,岑,岑,Dzrim,Cén,Sam4,Jam,Sin,ㄘㄣˊ,잠,シン
68,薛,薛,Siet,Xuē,Sit3,Seol,Setu,ㄒㄩㄝ,설,セツ
69,雷,雷,Lui,Léi,Leoi4,Roe,Rai,ㄌㄟˊ,뢰,ライ
70,賀,贺,Xâ,Hè,Ho6,Ha,Ka,ㄏㄜˋ,하,カ
71,倪,倪,Ŋei,Ní,Ngai4,Ye,Gei,ㄋㄧˊ,예,ゲイ
72,湯,汤,Thaŋ,Tāng,Tong1,Tang,Tô,ㄊㄤ,탕,トウ
73,滕,滕,Dəŋ,Téng,Tang4,Deung,Tô,ㄊㄥˊ,등,トウ
74,殷,殷,Qiən,Yīn,Jan1,Eun,In,ㄧㄣ,은,イン
75,羅,罗,La,Luó,Lo4,Ra,Ra,ㄌㄨㄛˊ,라,ラ
76,畢,毕,Pit,Bì,Bat1,Pil,Hitu,ㄅㄧˋ,필,ヒツ
77,郝,郝,Qhak,Hǎo,Kok3,Hak,Kaku,ㄏㄠˇ,학,カク
78,鄔,邬,Qó,Wū,Wu1,O,O,ㄨ,오,オ
79,安,安,Qan,Ān,On1,An,An,ㄢ,안,アン
80,常,常,Diaŋ,Cháng,Soeng4,Sang,Syô,ㄔㄤˊ,상,ショウ
81,樂,乐,Ŋrok,Yuè,Ngok6,Ak,Gaku,ㄩㄝˋ,악,ガク
82,于,于,Xyo,Yú,Jyu4,U,U,ㄩˊ,우,ウ
83,時,时,Diə,Shí,Si4,Si,Si,ㄕˊ,시,シ
84,傅,傅,Pyô,Fù,Fu6,Bu,Hu,ㄈㄨˋ,부,フ
85,皮,皮,Brie,Pí,Pei4,Pi,Hi,ㄆㄧˊ,피,ヒ
86,卞,卞,Bryên,Biàn,Bin6,Byeon,Hen,ㄅㄧㄢˋ,변,ヘン
87,齊,齐,Dzei,Qí,Cai4,Je,Sei,ㄑㄧˊ,제,セイ
88,康,康,Khaŋ,Kāng,Hong1,Gang,Kô,ㄎㄤ,강,コウ
89,伍,伍,Ŋó,Wǔ,Ng5,O,Go,ㄨˇ,오,ゴ
90,余,余,Jio,Yú,Jyu4,Yeo,Yo,ㄩˊ,여,ヨ
91,元,元,Ŋyan,Yuán,Jyun4,Won,Gen,ㄩㄢˊ,원,ゲン
92,卜,卜,Puk,Bǔ,Buk1,Bok,Hoku,ㄅㄨˇ,복,ホク
93,顧,顾,Kô,Gù,Gu3,Go,Ko,ㄍㄨˋ,고,コ
94,孟,孟,Mrâŋ,Mèng,Maang6,Maeng,Bô,ㄇㄥˋ,맹,ボウ
95,平,平,Brieŋ,Píng,Ping4,Pyeong,Hei,ㄆㄧㄥˊ,평,ヘイ
96,黃,黄,Xuaŋ,Huáng,Wong4,Hwang,Kô,ㄏㄨㄤˊ,황,コウ
97,和,和,Xua,Hé,Wo4,Hwa,Ka,ㄏㄜˊ,화,カ
98,穆,穆,Myuk,Mù,Muk6,Mok,Boku,ㄇㄨˋ,목,ボク
99,蕭,萧,Seu,Xiāo,Siu1,So,Syô,ㄒㄧㄠ,소,ショウ
100,尹,尹,Jýn,Yǐn,Wan5,Yun,In,ㄧㄣˇ,윤,イン
101,姚,姚,Jieu,Yáo,Jiu4,Yo,Yô,ㄧㄠˊ,요,ヨウ
102,邵,邵,Diêu,Shào,Siu3,So,Tyô,ㄕㄠˋ,소,チョウ
103,湛,湛,Drém,Zhàn,Zam3,Dam,Tan,ㄓㄢˋ,담,タン
104,汪,汪,Quaŋ,Wāng,Wong1,Wang,Ô,ㄨㄤ,왕,オウ
105,祁,祁,Gi,Qí,Kei4,Gi,Ki,ㄑㄧˊ,기,キ
106,毛,毛,Mau,Máo,Mou4,Mo,Bô,ㄇㄠˊ,모,ボウ
107,禹,禹,Xyó,Yǔ,Jyu5,U,U,ㄩˇ,우,ウ
108,狄,狄,Dek,Dí,Dik6,Jeok,Teki,ㄉㄧˊ,적,テキ
109,米,米,Méi,Mǐ,Mai5,Mi,Bei,ㄇㄧˇ,미,ベイ
110,貝,贝,Pâi,Bèi,Bui3,Pae,Hai,ㄅㄟˋ,패,ハイ
111,明,明,Mrieŋ,Míng,Ming4,Myeong,Mei,ㄇㄧㄥˊ,명,メイ
112,臧,臧,Caŋ,Zāng,Zong1,Jang,Sô,ㄗㄤ,장,ソウ
113,計,计,Kêi,Jì,Gai3,Gye,Kei,ㄐㄧˋ,계,ケイ
114,伏,伏,Byuk,Fú,Fuk6,Bok,Huku,ㄈㄨˊ,복,フク
115,成,成,Dieŋ,Chéng,Sing4,Seong,Sei,ㄔㄥˊ,성,セイ
116,戴,戴,Tə̂i,Dài,Daai3,Dae,Tai,ㄉㄞˋ,대,タイ
117,談,谈,Dam,Tán,Taam4,Dam,Tan,ㄊㄢˊ,담,タン
118,宋,宋,Sôŋ,Sòng,Sung3,Song,Sô,ㄙㄨㄥˋ,송,ソウ
119,茅,茅,Mrau,Máo,Maau4,Mo,Bô,ㄇㄠˊ,모,ボウ
120,龐,庞,Broŋ,Páng,Pong4,Bang,Hô,ㄆㄤˊ,방,ホウ
121,熊,熊,Xyuŋ,Xióng,Hung4,Ung,Yû,ㄒㄩㄥˊ,웅,ユウ
122,紀,纪,Kiə́,Jǐ,Gei2,Gi,Ki,ㄐㄧˇ,기,キ
123,舒,舒,Shio,Shū,Syu1,Seo,Syo,ㄕㄨ,서,ショ
124,屈,屈,Kyut,Qū,Wat1,Gul,Kutu,ㄑㄩ,굴,クツ
125,項,项,Xróŋ,Xiàng,Hong6,Hang,Kô,ㄒㄧㄤˋ,항,コウ
126,祝,祝,Tyuk,Zhù,Zuk1,Chuk,Syuku,ㄓㄨˋ,축,シュク
