0,字,隋語拼音,聲符,小韻,反切,聲母,開合,等呼,韻母,聲調,《廣韻》韻目,平水韻,中古拼音,白氏拼音,他數據
65,忠,tryuŋ,中,3,陟弓,知,開,三,東,平,上平一東,上平一東,triung,trjuwng,
66,𦬕,tryuŋ,中,3,陟弓,知,開,三,東,平,上平一東,上平一東,triung,trjuwng,
67,蟲,dryuŋ,蟲,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
68,沖,dryuŋ,中,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
69,种,dryuŋ,中,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
70,盅,dryuŋ,中,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
71,爞,dryuŋ,蟲,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
72,𦬕,dryuŋ,中,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
73,翀,dryuŋ,中,4,直弓,澄,開,三,東,平,上平一東,上平一東,driung,drjuwng,
74,終,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
75,衆,tyuŋ,衆,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
76,潨,tyuŋ,衆,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
77,𣧩,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
78,螽,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
79,𧑄,tyuŋ,衆,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
80,鼨,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
81,蔠,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
82,柊,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
83,𩅧,tyuŋ,衆,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
84,䶱,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
85,鴤,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
86,䈺,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
87,泈,tyuŋ,冬,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
88,䝦,tyuŋ,衆,5,職戎,章,開,三,東,平,上平一東,上平一東,cjung,tsyuwng,
89,忡,thryuŋ,中,6,敕中,徹,開,三,東,平,上平一東,上平一東,thriung,trhjuwng,
90,浺,thryuŋ,中,6,敕中,徹,開,三,東,平,上平一東,上平一東,thriung,trhjuwng,
91,盅,thryuŋ,中,6,敕中,徹,開,三,東,平,上平一東,上平一東,thriung,trhjuwng,
92,崇,dzryuŋ,宗,7,鋤弓,崇,開,三,東,平,上平一東,上平一東,zriung,dzrjuwng,
93,崈,dzryuŋ,宗,7,鋤弓,崇,開,三,東,平,上平一東,上平一東,zriung,dzrjuwng,
94,㓽,dzryuŋ,宗,7,鋤弓,崇,開,三,東,平,上平一東,上平一東,zriung,dzrjuwng,
95,𩞉,dzryuŋ,宗,7,鋤弓,崇,開,三,東,平,上平一東,上平一東,zriung,dzrjuwng,
96,嵩,syuŋ,嵩,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
97,崧,syuŋ,公,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
98,𪀚,syuŋ,戎,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
99,娀,syuŋ,戎,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
100,菘,syuŋ,公,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
101,硹,syuŋ,公,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
102,㣝,syuŋ,戎,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
103,𧊕,syuŋ,戎,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
104,𨱿,syuŋ,戎,8,息弓,心,開,三,東,平,上平一東,上平一東,siung,sjuwng,
105,戎,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
106,𢦦,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
107,茙,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
108,㭜,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
109,駥,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
110,𥬪,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
111,𠈋,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
112,狨,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
113,絨,nyuŋ,戎,9,如融,日,開,三,東,平,上平一東,上平一東,njung,nyuwng,
114,弓,kyuŋ,弓,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
115,躳,kyuŋ,宮,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
116,躬,kyuŋ,弓,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
117,㴦,kyuŋ,宮,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
118,宮,kyuŋ,宮,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
119,匑,kyuŋ,弓,10,居戎,見,開,三,東,平,上平一東,上平一東,kiung,kjuwng,
120,融,jyuŋ,蟲,11,以戎,以,開,三,東,平,上平一東,上平一東,jung,yuwng,
121,肜,jyuŋ,彡,11,以戎,以,開,三,東,平,上平一東,上平一東,jung,yuwng,
122,瀜,jyuŋ,蟲,11,以戎,以,開,三,東,平,上平一東,上平一東,jung,yuwng,
123,雄,xyuŋ,厷,12,羽弓,云,開,三,東,平,上平一東,上平一東,iung,hjuwng,
124,熊,xyuŋ,熊,12,羽弓,云,開,三,東,平,上平一東,上平一東,iung,hjuwng,
125,瞢,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
126,夢,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
127,𨞯,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
128,懜,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
129,𦫰,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
130,𧲎,myuŋ,瞢,13,莫中,明,開,三,東,平,上平一東,上平一東,miung,mjuwng,
131,穹,khyuŋ,弓,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
132,𢞏,khyuŋ,宮,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
133,焪,khyuŋ,弓,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
134,芎,khyuŋ,弓,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
135,𦵡,khyuŋ,宮,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
136,匑,khyuŋ,弓,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
137,𥳎,khyuŋ,工,14,去宮,溪,開,三,東,平,上平一東,上平一東,khiung,khjuwng,
138,窮,gyuŋ,弓,15,渠弓,群,開,三,東,平,上平一東,上平一東,giung,gjuwng,
139,藭,gyuŋ,弓,15,渠弓,群,開,三,東,平,上平一東,上平一東,giung,gjuwng,
140,𥨪,gyuŋ,弓,15,渠弓,群,開,三,東,平,上平一東,上平一東,giung,gjuwng,
141,馮,byuŋ,仌,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
142,堸,byuŋ,凡,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
143,汎,byuŋ,凡,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
144,芃,byuŋ,凡,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
145,𨝭,byuŋ,仌,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
146,渢,byuŋ,凡,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
147,梵,byuŋ,凡,16,房戎,並,開,三,東,平,上平一東,上平一東,biung,bjuwng,
148,風,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
149,飌,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
150,楓,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
151,猦,pyuŋ,凡,17,方戎,幫,開,三,東,平,上平一東,上平一東,piung,pjuwng,
